,generator,on_fraction,exact_match,per_element
0,gen_ab163f99,0.7235999830429437,0.8274111675126904,0.9919275239706712
1,gen_b42fba47,0.0001483742422315486,1.0,1.0
2,gen_4e0ff615,0.0001801687227097376,0.9974619289340102,0.9999294980259448
3,gen_5f4016ca,0.0002490567637458137,0.9974619289340102,0.9999647490129724
4,gen_8a0dcb92,0.20081393870024164,0.6954314720812182,0.9670755781161872
5,gen_179e9575,0.052757641273474924,0.8705583756345178,0.9910109983079526
6,gen_6917cd57,0.05559794819619314,0.8705583756345178,0.9905527354765934
7,gen_ff58fdf4,3.709356055788715e-05,1.0,1.0
8,gen_3223a28b,0.0,1.0,1.0
9,gen_d5aea532,4.2392640637585315e-05,1.0,1.0
10,gen_f8b856d4,0.012044809021153928,0.8730964467005076,0.996298646362098
11,gen_3760182f,0.38834838272075967,0.7893401015228426,0.9893894529046812
12,gen_f573906b,0.0282917885455085,0.8324873096446701,0.9923152848279752
13,gen_b6dbf4f8,0.02855674254949341,0.8350253807106599,0.9922800338409477
14,gen_e527ad06,0.09396858705328755,0.9060913705583756,0.9913282571912012
15,gen_3ee144ad,0.9292572809360296,0.9213197969543148,0.9942540891144952
16,gen_7fb5012b,0.8979927084658104,0.931472081218274,0.9980964467005076
17,gen_d84b2d57,9.00843613548688e-05,0.9949238578680204,0.9999294980259448
18,gen_f3e5828f,3.709356055788715e-05,1.0,1.0
19,gen_1fe20d30,0.7254864555513163,0.8197969543147208,0.9902354765933448
20,gen_9b33322b,0.01446118953749629,0.8984771573604061,0.9961928934010152
21,gen_916ef705,0.47924880240790196,0.6878172588832487,0.979237168640722
22,gen_fde258d2,0.38697062190003817,0.7563451776649747,0.9788141567963904
23,gen_a42b5872,0.00017486964263003943,1.0,1.0
24,gen_b972a1dc,0.9215365212599093,0.9137055837563453,0.9929850535815002
25,gen_66a1dbb4,0.057781169189028786,0.9289340101522844,0.990482233502538
26,gen_c88f45e6,0.027957946500487517,0.9593908629441624,0.9927030456852792
27,gen_a7876643,5.828988087667981e-05,1.0,1.0
28,gen_b4eba0b8,7.41871211157743e-05,0.9949238578680204,0.9999294980259448
29,gen_bc3de19e,5.828988087667981e-05,1.0,1.0
30,gen_bec834ae,3.179448047818899e-05,1.0,1.0
31,gen_7402b65f,0.004657891390054686,0.8756345177664975,0.996897913141568
32,gen_12c8d461,0.0006411886896434779,0.967005076142132,0.9993302312464748
33,gen_204e519c,0.9845213870872017,0.9416243654822336,0.9895657078398196
34,gen_2be55207,0.867994616134639,0.7639593908629442,0.9876269035532996
35,gen_82daac85,0.0,1.0,1.0
36,gen_1eccc250,0.8678038492517699,0.7766497461928934,0.988754935138184
37,gen_a21ecc31,0.21431069566323285,0.2309644670050761,0.952552171460801
38,gen_34b72ad1,0.2199807113485099,0.2106598984771573,0.9465947546531304
39,gen_e2a0735e,0.00012187884183305779,0.9949238578680204,0.9999294980259448
40,gen_7aeb2c57,5.828988087667981e-05,0.9974619289340102,0.9999647490129724
41,gen_f0ebb407,0.6638475560642673,0.2944162436548223,0.9337281443880427
42,gen_2155148b,0.6611556233837805,0.2817258883248731,0.9302382966723068
43,gen_3f6e6ecf,0.0,1.0,1.0
44,gen_16b60ab4,3.179448047818899e-05,0.9974619289340102,0.9999294980259448
45,gen_ea4d2032,0.0,1.0,1.0
46,gen_528be175,0.0,1.0,1.0
47,gen_a06f1505,6.888804103607614e-05,0.9974619289340102,0.9999647490129724
48,gen_809ce5b4,4.769172071728348e-05,0.9974619289340102,0.9999647490129724
49,gen_d520e1ee,0.4891686803170969,0.398477157360406,0.9625634517766496
50,gen_707f73ce,0.6556233837805757,0.1395939086294416,0.946242244782854
